Tweet ID,Text,User,Created At,Likes,Retweets,Sentiment
321562985031526311,This is the best day ever!,amandavillanueva,2023-04-04 09:36:59,996,796,positive
402576002588724223,I hate it when things don't go my way.,wendy43,2023-04-04 13:36:55,482,95,negative
912752068677451630,This is the best day ever!,rdurham,2023-04-04 14:30:04,166,74,positive
730928690451855620,Just had lunch with a friend.,maryjackson,2023-04-04 16:32:55,102,421,neutral
881347120315160728,I love my life!,fbrown,2023-04-04 16:57:07,170,483,positive
611760379353913316,I love my life!,ocarpenter,2023-04-04 22:48:10,76,904,positive
400245931141670343,Feeling disappointed in myself.,iballard,2023-04-05 01:05:25,792,463,negative
643185209935966398,I'm so upset right now.,jluna,2023-04-05 01:42:39,256,256,negative
749583570445211363,Feeling disappointed in myself.,harriskelly,2023-04-05 04:08:35,740,374,negative
106137695623551952,This is the best day ever!,wendy91,2023-04-05 04:27:17,852,714,positive
865623429066802371,Feeling grateful for my friends and family.,castanedaangela,2023-04-05 04:39:39,842,929,positive
175452861823059460,Feeling disappointed in myself.,elizabethrush,2023-04-05 06:43:01,598,588,negative
246007533929854939,I hate it when things don't go my way.,nguyentim,2023-04-05 10:19:25,515,136,negative
507277002732933414,I love my life!,jonathan85,2023-04-05 10:41:54,865,240,positive
926484684261704834,I'm so upset right now.,asimpson,2023-04-05 17:16:25,48,542,negative
132844067235691391,I'm so upset right now.,pcooper,2023-04-05 18:31:30,169,483,negative
192595056406080936,Going for a walk in the park.,tyler63,2023-04-05 19:11:23,7,819,neutral
699924169697555678,Feeling grateful for my friends and family.,hmoore,2023-04-05 19:12:52,426,973,positive
258490948344159442,I'm so upset right now.,brownjordan,2023-04-05 19:24:10,94,881,negative
871164373001569464,This is the best day ever!,debraphillips,2023-04-05 23:01:24,277,888,positive
876971645571338589,I hate it when things don't go my way.,lperry,2023-04-06 01:33:42,238,135,negative
570469750337209975,I love my life!,clarkbilly,2023-04-06 02:39:26,683,491,positive
394494160402179560,Feeling grateful for my friends and family.,jared84,2023-04-06 06:05:22,716,633,positive
374410706535285742,I hate it when things don't go my way.,carolferguson,2023-04-06 08:14:12,341,909,negative
428773068082494519,Feeling grateful for my friends and family.,stonekatherine,2023-04-06 08:52:23,904,251,positive
283629059290868486,Feeling disappointed in myself.,donaldmoore,2023-04-06 10:52:16,692,166,negative
662774413249505552,This is the best day ever!,vargasamber,2023-04-06 13:59:55,277,492,positive
771284773318902907,I'm so upset right now.,franklinaudrey,2023-04-06 16:55:17,17,46,negative
395101047440336807,Just had lunch with a friend.,jennifernguyen,2023-04-06 16:59:45,606,376,neutral
413247328930920581,Going for a walk in the park.,cunninghamgeorge,2023-04-06 17:13:06,485,269,neutral
781426818484998823,Watching a movie tonight.,millernicole,2023-04-06 19:00:17,650,337,neutral
648530549569049725,Feeling disappointed in myself.,francis69,2023-04-07 09:54:05,13,744,negative
693005055374214411,I love my life!,erinlucero,2023-04-07 10:41:28,527,628,positive
412977016299986359,I'm so upset right now.,victoria88,2023-04-07 12:33:01,146,19,negative
953245467993912593,I'm so upset right now.,tracy39,2023-04-07 13:41:32,253,266,negative
657818515314231000,I'm so upset right now.,iayala,2023-04-07 13:55:26,847,771,negative
770882469189479909,This is the best day ever!,jasonmiller,2023-04-07 15:09:48,382,39,positive
761989638152652101,This is the best day ever!,dramirez,2023-04-07 19:12:28,466,988,positive
